class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_01000210,tropical coniferous forest biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A coniferous forest biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,ENVO_01001830; ENVO_01000196; ENVO_01000399,,,tropical,terrestrial biome|coniferous forest biome|tropical coniferous forest biome|forest biome|needleleaf forest|tropical needleleaf forest|tropical environment|terrestrial ecosystem|forest ecosystem|tropical forest|tropical biome,terrestrial biome|coniferous forest biome|tropical coniferous forest biome|forest biome|needleleaf forest|tropical needleleaf forest|tropical environment|forest ecosystem|tropical forest|tropical biome|forest canopy|terrestrial ecosystem|canopy,terrestrial biome|coniferous forest biome|tropical coniferous forest biome|forest biome|needleleaf forest|tropical needleleaf forest|tropical environment|forest ecosystem|tropical forest|tropical biome|terrestrial ecosystem
ENVO_01000211,temperate coniferous forest biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A coniferous forest biome which is subject to temperate climate patterns.,,,,,,,wwfBiome,ENVO_01001831; ENVO_01000196; ENVO_01001805,,,temperate,terrestrial biome|forest biome|coniferous forest biome|needleleaf forest|temperate biome|temperate environment|temperate forest|terrestrial ecosystem|forest ecosystem|temperate coniferous forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000212,temperate mixed forest biome,,,A temperate mixed forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,ENVO_01001831; ENVO_01000198; ENVO_01001796,,,temperate,terrestrial biome|forest biome|temperate biome|mixed forest|temperate environment|temperate mixed forest|temperate forest|terrestrial ecosystem|forest ecosystem|mixed forest biome|temperate mixed forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000213,subtropical shrubland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to subtropical climate patterns.,,,,,,,wwfBiome,ENVO_01000176; ENVO_01001832,,,subtropical,terrestrial biome|terrestrial ecosystem|shrubland biome|subtropical shrubland biome|subtropical environment|subtropical biome,,
ENVO_01000214,tropical shrubland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,ENVO_01000176; ENVO_01001830,,,tropical,terrestrial biome|tropical environment|terrestrial ecosystem|tropical biome|shrubland biome|tropical shrubland biome,,
ENVO_01000215,temperate shrubland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A shrubland biome which is subject to temperate climate patterns.,,prairie biome,,,,,,ENVO_01000176; ENVO_01001831,,,temperate,terrestrial biome|temperate biome|temperate environment|terrestrial ecosystem|shrubland biome|temperate shrubland biome,,
ENVO_01000216,montane shrubland biome,,Preliminary definition.,A montane shrubland biome is a shrubland biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,wwfBiome,ENVO_01000176; ENVO_01001836,,,montane,terrestrial biome|terrestrial ecosystem|shrubland biome|montane shrubland biome|montane biome,,
ENVO_01000217,mediterranean shrubland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A mediterranean shrubland biome is a subtropical shrubland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",,,,,,,wwfBiome,ENVO_01001833; ENVO_01000213,,,subtropical|mediterranean,terrestrial biome|terrestrial ecosystem|shrubland biome|subtropical shrubland biome|mediterranean shrubland biome|subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01000218,xeric shrubland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",,,,,,,,wwfBiome,ENVO_01000176,,,,terrestrial biome|terrestrial ecosystem|shrubland biome|xeric shrubland biome,,
ENVO_01000219,anthropogenic terrestrial biome,,Preliminary definition.,An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.,,,anthrome; human biome,,,,,ENVO_01001828; ENVO_00000446,,anthropisation,,terrestrial biome|anthropogenic environment|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome,,
ENVO_01000220,tropical woodland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to tropical climate patterns.,,,,,,,,ENVO_01000175; ENVO_01001830,,,tropical,terrestrial biome|tropical environment|woodland biome|terrestrial ecosystem|tropical biome|tropical woodland biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000221,temperate woodland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to temperate climate patterns.,,,,,,,,ENVO_01000175; ENVO_01001831,,,temperate,terrestrial biome|temperate biome|temperate environment|woodland biome|terrestrial ecosystem|temperate woodland biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000222,subtropical woodland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A woodland biome which is subject to subtropical climate patterns.,,,,,,,,ENVO_01000175; ENVO_01001832,,,subtropical,terrestrial biome|woodland biome|terrestrial ecosystem|subtropical woodland biome|subtropical environment|subtropical biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000223,montane savanna biome,,Preliminary definition.,A montane savanna biome is a savanna biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,,ENVO_01000178; ENVO_01001836,,,montane,terrestrial biome|woodland biome|savanna biome|terrestrial ecosystem|montane savanna biome|montane biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000224,mediterranean grassland biome,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A subtropical grassland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",,,,,,,,ENVO_01001833; ENVO_01000191; ENVO_01001810,,,mediterranean|subtropical,terrestrial biome|grassland ecosystem|subtropical grassland|mediterranean grassland|terrestrial ecosystem|grassland biome|subtropical grassland biome|mediterranean grassland biome|subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01000225,subtropical dry broadleaf forest biome,,,A subtropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,ENVO_01000201; ENVO_01001801,,,subtropical,terrestrial biome|forest biome|broadleaf forest|subtropical broadleaf forest|subtropical dry broadleaf forest|subtropical forest|forest ecosystem|terrestrial ecosystem|broadleaf forest biome|subtropical broadleaf forest biome|subtropical dry broadleaf forest biome|subtropical environment|subtropical biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000226,subtropical moist broadleaf forest biome,,,A subtropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,ENVO_01000201; ENVO_01001802,,,subtropical,terrestrial biome|forest biome|broadleaf forest|subtropical broadleaf forest|subtropical moist broadleaf forest|subtropical forest|forest ecosystem|terrestrial ecosystem|broadleaf forest biome|subtropical broadleaf forest biome|subtropical moist broadleaf forest biome|subtropical environment|subtropical biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000227,tropical dry broadleaf forest biome,,,A tropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,ENVO_01000200; ENVO_01001799,,,tropical,terrestrial biome|forest biome|tropical environment|broadleaf forest|tropical broadleaf forest|tropical dry broadleaf forest|forest ecosystem|terrestrial ecosystem|tropical forest|tropical biome|broadleaf forest biome|tropical broadleaf forest biome|tropical dry broadleaf forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000228,tropical moist broadleaf forest biome,,,A tropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state.,,,,,rainforest biome,,wwfBiome,ENVO_01000200; ENVO_01001800,,,tropical,terrestrial biome|forest biome|broadleaf forest|tropical broadleaf forest|tropical moist broadleaf forest|forest ecosystem|tropical environment|terrestrial ecosystem|tropical forest|tropical biome|broadleaf forest biome|tropical broadleaf forest biome|tropical moist broadleaf forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000229,mediterranean savanna biome,,,A savanna biome which is subject to mediterranean climate patterns.,,,,,,,wwfBiome,ENVO_01001833; ENVO_01000187,,,mediterranean|subtropical,terrestrial biome|woodland biome|savanna biome|terrestrial ecosystem|subtropical savanna biome|mediterranean savanna biome|subtropical environment|subtropical biome|mediterranean biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000245,cropland biome,,,A cropland ecosystem which is undergoing climactic ecological succession.,,,,,,,,ENVO_01000219; ENVO_01001244,,anthropisation,,terrestrial biome|anthropogenic environment|cropland ecosystem|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome|cropland biome,,
ENVO_01000246,village biome,,"Villages are also described as agricultural settlements with greater than 100 persons per square kilometre; however, no upper limit is defined.","A village biome is an anthropogenic terrestrial biome which contains settlements such as villages, towns, and/or small cities and which is primarily used for agricultural activity.",,,,,,,,ENVO_00000428; ENVO_01000773,human construction,anthropisation,,human settlement|anthropogenic environment|village|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|village biome,human construction,human construction
ENVO_01000247,rangeland biome,,,A rangeland biome is an anthropogenic terrestrial biome which is primarily used for the rearing and grazing of livestock.,,,,,,,,ENVO_01000219,,anthropisation,,terrestrial biome|anthropogenic environment|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome|rangeland biome,,
ENVO_01000248,dense settlement biome,,,"A dense settlement biome is an anthropogenic terrestrial biome which is primarily used for human habitation, recreation, and industry within built structures with little other land use.",,,,,,,,ENVO_00000428; ENVO_01000658,human construction,anthropisation,,human settlement|anthropogenic environment|dense settlement|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|dense settlement biome,human construction,human construction
ENVO_01000249,urban biome,,,An urban biome is a dense settlement biome which has been urbanised.,,,,,,,,ENVO_01000248,human construction,anthropisation,,human settlement|anthropogenic environment|dense settlement|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|dense settlement biome|urban biome,human construction,human construction
ENVO_01000250,subpolar coniferous forest biome,,,A  coniferous forest biome which includes communities adapted to subpolar conditions.,,,,taiga; boreal forest,,,wwfBiome,ENVO_01000196; ENVO_01001834,,,subpolar,terrestrial biome|forest biome|coniferous forest biome|needleleaf forest|subpolar biome|subpolar environment|forest ecosystem|terrestrial ecosystem|subpolar coniferous forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000252,freshwater lake biome,,,A biome which is determined by a freshwater lake.,,,,,,,,ENVO_00000873,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_01000253,freshwater river biome,,,A freshwater biome which is determined by a freshwater river.,,,,,,,,ENVO_00000873,fresh water body,,,freshwater biome|aquatic biome|freshwater river biome|aquatic ecosystem|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_01000339,polar biome,,"This class is primarily for inference and, in general, should not be used directly by annotators. If you're an annotator, please consider using a more informative term such as 'tundra biome'.",A biome which is subject to polar climatic conditions.,,,,,,,envoPolar,ENVO_00000428; ENVO_01001703,,,polar,polar biome|polar environment,,
ENVO_01000854,tropical marine coral reef biome,,,A marine coral reef biome which is located in a region with a tropical climate.,,,,,,,wwfBiome,ENVO_01000049; ENVO_01001830,marine reef|marine water body|reef,,tropical,aquatic biome|marine environment|tropical marine coral reef biome|marine benthic biome|marine reef biome|marine coral reef biome|tropical environment|tropical biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000856,temperate marginal sea biome,,,A marginal sea biome which is located in a region with a temperate climate.,A component of the WWF Temperate Shelf and seas ecoregions grouping,,,,,,wwfBiome,ENVO_01000046; ENVO_01001831,marine water body,,temperate,aquatic biome|marine environment|temperate biome|temperate marginal sea biome|temperate environment|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000857,temperate mediterranean sea biome,,,A mediterranean sea biome which is subject to temperate climate patterns.,,,,,,,wwfBiome,ENVO_01000047,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|aquatic ecosystem|mediterranean sea biome|marine biome|temperate mediterranean sea biome|subtropical environment|subtropical biome|mediterranean biome|marine ecosystem,marine water body,marine water body
ENVO_01000858,marine upwelling biome,,,A marine biome which contains communities adapted to living in an environment determined by an upwelling process.,,,,,,,,ENVO_00000447,marine water body,,,aquatic biome|marine environment|marine upwelling biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01000859,tropical marine upwelling biome,,,A marine upwelling biome which is subject to tropical climate patterns.,,,,,,,wwfBiome,ENVO_01001830; ENVO_01000858,marine water body,,tropical,aquatic biome|marine environment|marine upwelling biome|tropical marine upwelling biome|tropical environment|tropical biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01000860,temperate marine upwelling biome,,,A marine upwelling biome which is located in a region subject to temperate climate patterns.,,,,,,,wwfBiome,ENVO_01001831; ENVO_01000858,marine water body,,temperate,temperate marine upwelling biome|aquatic biome|marine environment|temperate biome|marine upwelling biome|temperate environment|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01001230,tropical marginal sea biome,,,A marginal sea biome which is located in a region with a tropical climate.,A class which is complementary to the WWF Temperate Shelf and Seas ecoregions grouping,,,,,,,ENVO_01000046; ENVO_01001830,marine water body,,tropical,tropical marginal sea biome|aquatic biome|marine environment|tropical environment|tropical biome|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01001369,tidal mangrove shrubland,,"This class aligns to the Coastal and Marine Ecological Classification Standard (CMECS). In ENVO, we may adapt the definition for consistency, but the semantics (meaning) of the term should be unaffected. Please consult the CMECS catalogue (https://cmecscatalog.org/) for authoritative and semantically unconstrained definitions. CMECS provides the following notes: ""Commonly found on intertidal mud flats along the shores of estuaries. Tidal mangrove shrublands may include immature stands or stunted mature trees that indicate a harsh growing environment. Areas characterized by tall mangroves (> 6 meters) are placed in the Tidal Mangrove Forest Biotic Group. Where tidal amplitude is relatively low, the vegetation forms narrow bands along the coastal plains, and it rarely penetrates inland more than several kilometers along rivers. Where tidal amplitude is greater, mangroves extend further inland along river courses, forming extensive stands in the major river deltas. Also, mangrove cays may occur within the lagoon complex of barrier reefs. The list of biotic communities for this group is long: a few examples are provided below, and the complete list is available in Appendix F""","A shrubland biome which is densely vegetated by dwarf or short mangroves (and associates) that are generally less than 6 meters in height, is tidally influenced,  is located in tropical or subtropical areas.",,,,,,,envoCmecs; envoMarine,ENVO_01000176,,,,tidal mangrove shrubland|terrestrial biome|terrestrial ecosystem|shrubland biome,clay|soil|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|terrestrial biome|silt|particle|particle of clay|mangrove swamp|mangrove biome|coastal wetland ecosystem|sea coast|pedosphere|wetland ecosystem|coast|terrestrial ecosystem|soil surface layer|soil layer,
ENVO_01001505,alpine tundra biome,,"The absence of trees in this biome is primarily due to high altitude rather than high latitude. On Earth, it lies roughly between the summer isotherm of 10 degrees Centigrade and the snow line. Primary productivity is low in this biome because of the extremes of climate.","A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.",,,mountain tundra,,,,envoPolar,ENVO_01000180; ENVO_01001835,,,alpine,alpine tundra biome|terrestrial biome|tundra biome|terrestrial ecosystem|tundra ecosystem|alpine biome,clay|soil|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|terrestrial biome|silt|vegetated area|particle|particle of clay|area of tundra|terrestrial environmental zone|tundra biome|pedosphere|tundra ecosystem|frozen land|frozen soil|terrestrial ecosystem,
ENVO_01001798,tropical mixed forest biome,,,A tropical mixed forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,ENVO_01001830; ENVO_01000198; ENVO_01001797,,,tropical,tropical mixed forest|tropical mixed forest biome|terrestrial biome|forest biome|mixed forest|forest ecosystem|tropical environment|terrestrial ecosystem|tropical forest|tropical biome|mixed forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01001830,tropical biome,,,A biome which is subject to tropical climatic conditions.,,,,,,,,ENVO_00000428; ENVO_01001701,,,tropical,tropical environment|tropical biome,,
ENVO_01001831,temperate biome,,,A biome which is subject to temperate climatic conditions.,,,,,,,,ENVO_00000428; ENVO_01001705,,,temperate,temperate biome|temperate environment,,
ENVO_01001832,subtropical biome,,,A biome which is subject to subtropical climatic conditions.,,,,,,,,ENVO_00000428; ENVO_01001702,,,subtropical,subtropical environment|subtropical biome,,
ENVO_01001833,mediterranean biome,,,A biome which is subject to mediterranean climatic conditions.,,,,,,,,ENVO_01001832,,,mediterranean|subtropical,subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01001834,subpolar biome,,,A biome which is subject to subpolar climatic conditions.,,,,,,,,ENVO_00000428; ENVO_01001704,,,subpolar,subpolar biome|subpolar environment,,
ENVO_01001835,alpine biome,,,A biome which is subject to alpine altitudinal conditions.,,,,,,,,ENVO_00000428,,,alpine,alpine biome,,
ENVO_01001836,montane biome,,,A biome which is subject to montane altitudinal conditions.,,,,,,,,ENVO_00000428,,,montane,montane biome,,
ENVO_01001837,subalpine biome,,,A biome which is subject to subapline altitudinal conditions.,,,,,,,,ENVO_00000428,,,subalpine,subalpine biome,,
ENVO_01001838,arid biome,,,A biome which is subject to arid environmental conditions.,,,,,,,,ENVO_00000428,,,arid,arid biome,,
ENVO_03605008,freshwater stream biome,,,A freshwater stream ecosystem which is undergoing climactic ecological succession.,,,,,,,,ENVO_00000873; ENVO_03605009,watercourse|stream|freshwater stream|fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|freshwater ecosystem|freshwater stream biome|freshwater stream ecosystem,stream|watercourse|fresh water body|freshwater stream,stream|watercourse|fresh water body|freshwater stream
