ols,count
astronomical body part,1154
compound astronomical body part,937
astronomical body,732
astronomical object,732
solid astronomical body part,475
liquid astronomical body part,469
fluid astronomical body part,469
water mass,469
body of liquid,469
water body,469
layer,452
interface layer,434
solid layer,434
solid surface layer,434
surface layer,434
land,430
surface of an astronomical body,430
biosphere,381
lentic water body,374
marine water body,365
hydrosphere,336
environmental system,225
ecosystem,216
biome,179
environmental condition,177
environmental system process,146
environmental system determined by a quality,133
terrestrial ecosystem,132
climactic ecological succession,127
ecosystem process,127
ecological succession,127
terrestrial biome,98
fresh water body,91
environmental material,87
liquid water,63
liquid environmental material,63
fluid environmental material,63
aquatic ecosystem,62
aquatic biome,62
subtropical,60
landform,57
forest ecosystem,55
forest canopy,54
canopy,54
surface landform,54
vegetation layer,54
environmental zone,52
terrestrial environmental zone,52
desert,48
planetary landmass,46
planetary surface,46
landmass,46
marine environment,44
planet,44
marine biome,44
marine ecosystem,44
tropical,42
hydrographic feature,40
geographic feature,40
marine reef,40
reef,40
vegetated area,40
woodland area,36
temperate,33
mediterranean,30
solid environmental material,27
altitudinal condition,24
human construction,24
anthropisation,24
anthropogenic environmental process,24
fresh water,24
construction,24
anthropogenic ecosystem conversion process,24
watercourse,23
stream,23
freshwater stream,23
lotic water body,23
forest biome,21
subtropical biome,20
subtropical environment,20
soil,18
particle of sand,18
silt,18
particle of clay,18
particle,18
mineral material,18
particulate environmental material,18
particle of silt,18
organic material,18
mass of solid material,18
clay,18
technosphere,18
sand,18
mass of environmental material,18
tropical environment,17
tropical biome,17
freshwater biome,17
freshwater ecosystem,17
marine benthic biome,16
river,15
freshwater river,15
montane,15
ocean,14
saline water body,14
marine pelagic biome,13
woodland biome,12
desert area,12
area of barren land,12
pedosphere,12
temperate biome,11
temperate environment,11
freshwater river biome,11
mediterranean biome,10
lake,9
hydroform,9
freshwater lake,9
tropical forest,8
broadleaf forest,8
shrubland biome,8
broadleaf forest biome,8
needleleaf forest,8
oceanic pelagic zone biome,8
coniferous forest biome,8
large river biome,7
grassland biome,7
savanna biome,7
grassland ecosystem,7
desert ecosystem,6
marine current,6
tundra biome,6
soil surface layer,6
polar,6
wetland ecosystem,6
spring,6
desert biome,6
frozen soil,6
anthropised ecosystem,6
water current,6
alpine,6
anthropogenic environment,6
tundra ecosystem,6
subpolar,6
upwelling,6
mangrove swamp,6
ocean current,6
coastal wetland ecosystem,6
soil layer,6
montane biome,5
marine hydrothermal vent biome,5
marine reef biome,5
subtropical forest,5
sea coast,4
area of tundra,4
neritic pelagic zone biome,4
tropical coniferous forest biome,4
tropical needleleaf forest,4
frozen land,4
mediterranean sea biome,4
mangrove biome,4
coast,4
anthropogenic terrestrial biome,3
mixed forest,3
human settlement,3
environmental system determined by an organism,3
seep,3
environment associated with an animal part or small animal,3
animal-associated environment,3
mouth,3
freshwater lake biome,3
depressed landform,3
headwater,3
marine upwelling biome,3
river mouth,3
marginal sea biome,3
temperate forest,3
structural basin,3
freshwater spring,3
slope,3
stream mouth,3
mixed forest biome,3
cold seep,3
tropical broadleaf forest biome,3
subtropical broadleaf forest biome,3
subalpine,3
subtropical broadleaf forest,3
tropical broadleaf forest,3
arid,3
delta,3
subpolar biome,2
polar biome,2
dense settlement,2
subtropical woodland biome,2
subtropical shrubland biome,2
subtropical grassland biome,2
subtropical savanna biome,2
subpolar environment,2
marine coral reef biome,2
subtropical grassland,2
dense settlement biome,2
polar environment,2
alpine biome,2
tropical moist broadleaf forest biome,1
alpine tundra biome,1
temperate mixed forest biome,1
temperate coniferous forest biome,1
subtropical coniferous forest biome,1
mediterranean woodland biome,1
temperate broadleaf forest biome,1
subalpine biome,1
arid biome,1
hydrological process,1
mediterranean forest biome,1
material transport process,1
freshwater stream biome,1
freshwater stream ecosystem,1
flooded grassland biome,1
montane grassland biome,1
temperate grassland biome,1
tropical grassland biome,1
tidal mangrove shrubland,1
tropical mixed forest,1
tropical shrubland biome,1
tropical mixed forest biome,1
rangeland biome,1
temperate savanna biome,1
tropical dry broadleaf forest biome,1
subtropical moist broadleaf forest biome,1
subtropical dry broadleaf forest biome,1
mediterranean grassland biome,1
montane savanna biome,1
cropland biome,1
village biome,1
urban biome,1
mediterranean savanna biome,1
temperate woodland biome,1
tropical woodland biome,1
subpolar coniferous forest biome,1
xeric shrubland biome,1
mediterranean shrubland biome,1
montane shrubland biome,1
temperate shrubland biome,1
mass fluid flow,1
subtropical dry broadleaf forest,1
marine hadal zone biome,1
tropical savanna biome,1
oceanic bathypelagic zone biome,1
cropland ecosystem,1
dilution basin mediterranean sea biome,1
marine cold seep biome,1
marine sponge reef biome,1
marine white smoker biome,1
marine black smoker biome,1
marine subtidal rocky reef biome,1
neritic mesopelagic zone biome,1
neritic epipelagic zone biome,1
neritic sea surface microlayer biome,1
oceanic benthopelagic zone biome,1
oceanic hadal pelagic zone biome,1
oceanic abyssopelagic zone biome,1
oceanic mesopelagic zone biome,1
polar desert biome,1
oceanic epipelagic zone biome,1
oceanic sea surface microlayer biome,1
mediterranean forest,1
temperate broadleaf forest,1
temperate mixed forest,1
tropical dry broadleaf forest,1
tropical moist broadleaf forest,1
temperate grassland,1
mediterranean grassland,1
montane grassland,1
flooded grassland,1
tropical grassland,1
tropical marginal sea biome,1
flooded savanna biome,1
tropical marine upwelling biome,1
temperate marginal sea biome,1
tropical marine coral reef biome,1
montane desert biome,1
subtropical desert biome,1
tropical desert biome,1
temperate desert biome,1
marine basaltic hydrothermal vent biome,1
marine ultramafic hydrothermal vent biome,1
ocean biome,1
epeiric sea biome,1
subtropical moist broadleaf forest,1
marine abyssal zone biome,1
marine bathyal zone biome,1
marine neritic benthic zone biome,1
marine salt marsh biome,1
estuarine biome,1
tidal flow process,1
advective transport process,1
concentration basin mediterranean sea biome,1
xeric basin biome,1
small freshwater lake biome,1
large freshwater lake biome,1
small river biome,1
large river delta biome,1
large river headwater biome,1
water flow process,1
mass liquid flow,1
village,1
temperate mediterranean sea biome,1
temperate marine upwelling biome,1
